[jabber][бормотать тараторить]
[jaded][изнуренный пресыщенный]
[jangle][дребезжать ссориться]
[jargon][жаргон арго]
[jaundice][зависть предубеждение]
[jaunt][прогулка поездка]
[jaunty][бойкий веселый]
[jealous][ревнивый завистливый]
[jeer][насмехаться глумиться]
[jejune][пустой скучный]
[jeopardize][рисковать подставлять]
[jeopardy][опасность риск]
[jerk][толкать дергать]
[jettison][выбрасывать отвергать]
[jibe][согласовываться совпадать]
[jilt][бросать покидать]
[jingoism][шовинизм национализм]
[jocular][шутливый забавный]
[jocund][веселый жизнерадостный]
[jog][подталкивать напоминать]
[jollity][веселье пиршество]
[jostle][толкаться теснить]
[jovial][общительный веселый]
[jubilant][ликующий восторженный]
[judicious][рассудительный разумный]
[jumble][перемешивать путать]
[junction][стык соединение]
[juncture][момент положение]
[jurisdiction][юрисдикция полномочия]
[justify][оправдывать обосновывать]
